Row,n,rubric_applied,k0,k1,k2,k3,k4,k5,k6,typed_UC,typed_SC,corrected_UC,corrected_SC,frequency,borderline,notes
w20,9,8c-commonality,237,402,250,71,8,0,0,"0,1,2,3","5,6","0,1,2,3","5,6",4 abt 4,,8c-commonality: FLAG interior gap at k=4 (untyped between UC and SC); fails (a)&(b).
w21,7,8b-chase-max,327,394,196,46,5,0,0,"5,6",4,"5,6",4,4 abt 4,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w22,6,8b-chase-max,405,397,146,18,2,0,0,"4,5,6",none,"4,5,6",none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w23,5,8b-chase-max,433,403,119,13,0,0,0,"4,5",none,"4,5",none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w24,5,8b-chase-max,456,404,97,11,0,0,0,"4,5",none,"4,5",none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w25,4,8b-chase-max,508,388,68,4,0,0,0,4,3,4,3,3 abt 3,,"RESOLVED at source (UC 3,4->4) to match w26; SC=3, Freq=3 abt 3. 8b-chase-max."
w26,4,8b-chase-max,529,367,63,9,0,0,0,4,3,4,3,3 abt 5,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w27,3,8b-chase-max,632,285,50,1,0,0,0,3,none,3,none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w28,3,8b-chase-max,615,309,44,0,0,0,0,3,none,3,none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w29,3,8b-chase-max,621,313,34,0,0,0,0,3,none,3,none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w30,3,8b-chase-max,620,304,42,2,0,0,0,3,none,3,none,abt 2,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w33,5,8b-chase-max,416,409,132,10,1,0,0,5,none,5,none,,,"CORRECTED AT SOURCE: dropped impossible k=6 from UC (5,6->5). 8b-chase-max."
w34,5,8b-chase-max,457,376,123,12,0,0,0,"4,5",none,"4,5",none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w35,5,8b-chase-max,466,374,120,8,0,0,0,"4,5",none,"4,5",none,3 abt 5,,"SC abt-note RELOCATED to Frequency at source (value 3 not in UC; no conflict, moved for consistency). 8b-chase-max."
w36,5,8b-chase-max,489,368,101,9,1,0,0,"4,5",none,"4,5",none,,,"8b-chase-max CONFIRMED: UC anchors max achievable match=min(n,6); kept."
w37,5,8b-chase-max,476,390,86,15,1,0,0,"4,5",none,"4,5",none,4 abt 1,,"SC abt-note relocated to Frequency at source; double-typing resolved, UC intact. 8b-chase-max."
w38,4,8b-chase-max,538,357,66,6,1,0,0,4,none,4,none,4 abt 1,,"CORRECTED AT SOURCE: dropped impossible k=5 from UC (4,5->4). SC abt-note relocated to Frequency. 8b-chase-max."
w39,4,8b-chase-max,542,344,77,5,0,0,0,4,none,4,none,4 abt 1,,"SC abt-note relocated to Frequency at source; double-typing resolved. Frequency ""4 abt 1"" but empirical k=4=0 (doc estimate inaccurate). 8b-chase-max."
w40,4,8b-chase-max,528,368,67,5,0,0,0,"3, 4",none,"3, 4",none,3 abt 3,,"SC abt-note relocated to Frequency at source; double-typing resolved, UC intact. 8b-chase-max."
w41,4,8b-chase-max,529,369,63,7,0,0,0,4,none,4,none,3 abt 5,,"SC abt-note RELOCATED to Frequency at source (value 3 not in UC; no conflict, moved for consistency). 8b-chase-max."
w43,6,8c-commonality,376,414,161,15,1,0,1,"0,1,2,3,4","5,6","0,1,2,3,4","5,6",,4 only 1,"8c-commonality: canonical clean fit (UC={0..4} incl k0, SC={5,6}); fails (a)&(b). Borderline (from doc): 4 only 1."
w44,6,8c-commonality,400,405,139,20,2,1,1,none,"4,5",none,"4,5",,"4,5 only 1 ea","8c-commonality PARTIAL: FLAG UC blank (SC-tail only) - does not cleanly satisfy any rubric UC test; implicit UC would be {0,1,2,3}. Borderline (from doc): 4,5 only 1 ea."
w45,6,8c-commonality,401,405,139,21,1,0,1,none,"6,5",none,"6,5",,,"8c-commonality PARTIAL: FLAG UC blank (SC-tail only) - does not cleanly satisfy any rubric UC test; implicit UC would be {0,1,2,3}."
w62,6,8c-commonality,382,410,151,23,1,0,1,none,"5,6",none,"5,6",,,"8c-commonality PARTIAL: FLAG UC blank (SC-tail only) - does not cleanly satisfy any rubric UC test; implicit UC would be {0,1,2,3}."
